ID,name,address,latitude,longitude,place_id,created_at,updated_at
1,サッポロビール　北海道工場,〒061-1405 北海道恵庭市戸磯５４２−１,42.8618037,141.6029986,ChIJxzbCs37YdF8RFfYTnZUbVYY,2022-08-14 10:23:35,2022-08-14 10:23:35
2,アサヒビール　北海道工場,〒003-0022 北海道札幌市白石区南郷通４丁目南１−１,43.0417097,141.4045542,ChIJbzvNsLArC18R2WoQZqiyaB8,2022-08-14 10:23:35,2022-08-14 10:23:35
3,キリンビール　北海道千歳工場,〒066-8711 北海道千歳市上長都949-1,42.8456075,141.6192853,ChIJ-QR4_p3YdF8RB10bu62t7oI,2022-08-14 10:23:36,2022-08-14 10:23:36
4,札幌開拓使麦酒醸造所,〒060-0032 北海道札幌市中央区北２条東４丁目1番地2,43.0654478,141.3621328,ChIJS3ZdGtkpC18R7D2Ol3HoxdY,2022-08-14 10:23:36,2022-08-14 10:23:36
5,サッポロビール博物館,〒065-8633 北海道札幌市東区北７条東９丁目１−１,43.0714671,141.3689124,ChIJ0fYsL4QpC18Ry-fF7_rGYBM,2022-08-14 10:23:38,2022-08-14 10:23:38
6,小樽ビール銭函醸造所,〒047-0261 北海道小樽市銭函３丁目２６３−１９,43.1399317,141.1763926,ChIJQ33weE4nC18RI7r1Cm5pTZ0,2022-08-14 10:23:38,2022-08-14 10:23:38
7,（株）ベアレン醸造所,〒020-0061 岩手県盛岡市北山１丁目３−３１,39.7145985,141.1543409,ChIJeQKqphR2hV8RRtZftL62As8,2022-08-14 10:23:41,2022-08-14 10:23:41
8,キリンビール　仙台工場,〒983-0001 宮城県仙台市宮城野区港２丁目２−１,38.267609,140.993649,ChIJCzo5l8CIiV8Rj0PQEggIRqU,2022-08-14 10:23:43,2022-08-14 10:23:43
9,サッポロビール　那須工場,〒325-0001 栃木県那須郡那須町高久４４５３−４９,37.0162821,140.0274613,ChIJExLi7qI5LhURdD8z0L_Sxmg,2022-08-14 10:23:46,2022-08-14 10:23:46
10,キリンビール　取手工場,〒302-8502 茨城県取手市桑原１８８−１,35.905651,140.07357,ChIJC3lndBF3ImAR-reRIzTS5JM,2022-08-14 10:23:48,2022-08-14 10:23:48
11,アサヒビール　茨城工場（スーパードライミュージアム）,〒302-0106 茨城県守谷市緑１丁目１−１,35.9509478,139.9673022,ChIJW2WALB2fGGARjjfGmx9Sw7M,2022-08-14 10:23:48,2022-08-14 10:23:48
12,サントリー〈天然水のビール工場〉東京・武蔵野,〒183-0025 東京都府中市矢崎町３丁目１,35.6600932,139.4782285,ChIJeRFHy8LkGGARAShi3OsbvHY,2022-08-14 10:23:58,2022-08-14 10:23:58
13,ヱビスビール記念館,〒150-8522 東京都渋谷区恵比寿４丁目２０−１ 恵比寿ガーデンプレイス,35.6432025,139.7145181,ChIJY24wMRSLGGARdbDv6D2KdHE,2022-08-14 10:24:00,2022-08-14 10:24:00
14,サッポロビール　千葉工場,〒273-0014 千葉県船橋市高瀬町 サッポロビール,35.666206,139.9921427,ChIJ4YeH8Xx_GGARx1ZzpzTS4Ds,2022-08-14 10:24:04,2022-08-14 10:24:04
