id,prefecture,central_point,search_radius,latitude,longitude
1,北海道,中山峠,50000,42.8559235996588,141.132453451643
2,北海道,神居ダム,50000,43.6069943482605,142.345234200198
3,北海道,芽室駅,50000,42.9249664417279,143.048061741016
4,青森県,前田野目川,50000,40.7883406677534,140.556121570768
5,青森県,奥入瀬川,30000,40.5841539653202,141.265944838703
6,岩手県,岩手町,50000,39.9086971515968,141.392492366399
7,岩手県,柏木平駅,50000,39.2147830531068,141.470111269367
8,秋田県,小坂,30000,40.2529851363256,140.731540417882
9,山形県,白鷹町,50000,38.2120232620955,140.124193084696
10,宮城県,松山町駅,50000,38.4817990170562,141.029361272003
11,宮城県,北白川駅,25000,38.0427558369493,140.689226694993
12,福島県,郡山,50000,37.4452629403739,140.220167692422
13,茨城県,友部駅,50000,36.3419686485497,140.314664605278
14,栃木県,篠井インターチェンジ,50000,36.6679479962636,139.817082503840
15,群馬県,渋川,50000,36.4910348594971,139.000277772326
16,埼玉県,北坂戸駅,40000,35.9724671486242,139.396738938219
17,千葉県,麻倉ゴルフ倶楽部,50000,35.6339904707632,140.260757651698
18,千葉県,かじか橋,20000,35.0578535472571,139.930034548305
19,東京都,国立駅,50000,35.6993820871453,139.446343811225
20,神奈川県,寒川,38000,35.3678251065593,139.387481684230
21,山梨県,甲府城南ケアセンター,40000,35.6078102852084,138.601246943216
22,静岡県,家山駅,50000,34.9607153498527,138.141829979867
23,静岡県,沼津市,45000,35.0178436640602,138.843126657191
24,愛知県,丹坂町,50000,35.0123147226350,137.211415141833
25,長野県,諏訪湖,50000,35.9942011142894,138.090439269955
26,長野県,北大町駅,10000,36.5214515515164,137.857840634157
27,新潟県,新発田駅,50000,37.9324998819695,139.396850564631
28,新潟県,越後岩沢駅,40000,37.2230015574703,138.812399377002
29,新潟県,佐渡空港,35000,38.0548437605411,138.399818880991
30,富山県,富山駅,45000,36.7022482726405,137.212239559675
31,福井県,西河原町,35000,35.9668328842293,136.360119145613
32,石川県,道の駅一向一揆の里,30000,36.3579078676583,136.597116673618
33,石川県,直津IC,50000,37.0504918571936,136.928168090268
34,岐阜県,福野駅,50000,35.6260537175083,137.020774736652
35,滋賀県,薩摩町,40000,35.2357381129153,136.167879672199
36,三重県,大宮大台IC,50000,34.3879979555426,136.410753983445
37,京都府,京都GC上賀茂コース,50000,35.0671532608397,135.7496116378360
38,京都府,宮津天橋立IC,30000,35.5110677335683,135.2007057280120
39,奈良県,黒滝村,45000,34.3092563584921,135.853267747523
40,和歌山県,龍神村東,50000,33.9225074533949,135.494189184407
41,大阪府,千鳥公園,36000,34.6513890285135,135.471747988796
42,兵庫県,河原田不動滝,50000,35.1899554213254,134.6076375014060
43,兵庫県,相野駅,35000,34.9424334855154,135.1420143877930
44,岡山県,旭川ダム,50000,34.9169721776185,133.839061355533
45,鳥取県,蒜山,50000,35.3233797384470,133.684719341471
46,広島県,金明山,50000,34.5165930227438,132.688281043125
47,島根県,見々久の滝,50000,35.2584524448926,132.789053308399
48,山口県,長登銅山文化交流館,50000,34.2347205339609,131.3373263771320
49,山口県,周防高森駅,25000,34.1230482128710,132.0286629032690
50,徳島県,当野石峠,45000,33.9806442797871,134.323754205289
51,香川県,畑田駅,40000,34.2576778650054,133.977857024260
52,愛媛県,滑川渓谷,50000,33.7737370016415,132.985767209604
53,高知県,海洋堂,50000,33.1371740879982,133.0262141817540
54,高知県,桂浜,50000,33.4411559316714,133.6163891384170
55,福岡県,筑前内野駅,50000,33.5394410347304,130.640720435336
56,大分県,大船山,50000,33.1128488535605,131.304256086895
57,佐賀県,多久原,35000,33.2963046440586,130.122882120047
58,熊本県,御船町,50000,32.7149429517511,130.848793584411
59,宮崎県,国富町,50000,31.9877720090025,131.329979017213
60,長崎県,松原駅,50000,32.9804555109159,129.945576914901
61,鹿児島県,鹿児島駅,50000,31.6186347476731,130.579885884898
